Item,Quantity,Rarity,Price,High Alch,Drop Probability,Expected GP,Quantity_clean,Price_clean,Expected_GP_clean,Rarity_prob,prob_diff
Zulrah's scales,,Always,,,1,,1,,,1,0
Tanzanite fang,,"2 × 1/1,024",,,0.001953125,,1,,,0.001952171,9.54E-07
Magic fang,,"2 × 1/1,024",,,0.001953125,,1,,,0.001952171,9.54E-07
Serpentine visage,,"2 × 1/1,024",,,0.001953125,,1,,,0.001952171,9.54E-07
Uncut onyx,,"2 × 1/1,024",,,0.001953125,,1,,,0.001952171,9.54E-07
Flax,,2 × 10/249[d 1],,,0.080321285,,1,,,0.080321285,0
Tanzanite mutagen,,"2 × 1/13,107[d 2]",,,0.00015259,,1,,,0.000152584,5.82E-09
Magma mutagen,,"2 × 1/13,107[d 2]",,,0.00015259,,1,,,0.000152584,5.82E-09
Battlestaff,,2 × 10/249,,,0.080321285,,1,,,0.080321285,0
Dragon med helm,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Dragon halberd,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Death rune,,2 × 12/249,,,0.096385542,,1,,,0.096385542,0
Law rune,,2 × 12/249,,,0.096385542,,1,,,0.096385542,0
Chaos rune,,2 × 12/249,,,0.096385542,,1,,,0.096385542,0
Snapdragon,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Dwarf weed,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Toadflax,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Torstol,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Palm tree seed,,2 × 6/249,,,0.048192771,,1,,,0.048192771,0
Papaya tree seed,,2 × 6/249,,,0.048192771,,1,,,0.048192771,0
Calquat tree seed,,2 × 6/249,,,0.048192771,,1,,,0.048192771,0
Magic seed,,2 × 4/249,,,0.032128514,,1,,,0.032128514,0
Toadflax seed,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Snapdragon seed,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Dwarf weed seed,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Torstol seed,,2 × 2/249,,,0.016064257,,1,,,0.016064257,0
Spirit seed,,2 × 1/249,,,0.008032129,,1,,,0.008016,1.61E-05
Snakeskin,,2 × 11/249,,,0.088353414,,1,,,0.088353414,0
Runite ore,,2 × 11/249,,,0.088353414,,1,,,0.088353414,0
Pure essence,,2 × 10/249,,,0.080321285,,1,,,0.080321285,0
Yew logs,,2 × 10/249,,,0.080321285,,1,,,0.080321285,0
Adamantite bar,,2 × 8/249,,,0.064257028,,1,,,0.064257028,0
Coal,,2 × 8/249,,,0.064257028,,1,,,0.064257028,0
Dragon bones,,2 × 8/249,,,0.064257028,,1,,,0.064257028,0
Mahogany logs,,2 × 8/249,,,0.064257028,,1,,,0.064257028,0
Raw shark,,2 × 4.5/249,,,0.036144578,,1,,,0.020080321,0.016064257
Shark lure,,2 × 4.5/249,,,0.036144578,,1,,,0.020080321,0.016064257
Manta ray,,2 × 3/249,,,0.024096386,,1,,,0.024096386,0
Zul-andra teleport,,2 × 15/249,,,0.120481928,,1,,,0.120481928,0
Antidote++(4),,2 × 9/249,,,0.072289157,,1,,,0.072289157,0
Dragonstone bolt tips,,2 × 8/249,,,0.064257028,,1,,,0.064257028,0
Grapes,,2 × 6/249,,,0.048192771,,1,,,0.048192771,0
Coconut,,2 × 6/249,,,0.048192771,,1,,,0.048192771,0
Swamp tar,,2 × 5/249,,,0.040160643,,1,,,0.040160643,0
Zulrah's scales,,2 × 5/249,,,0.040160643,,1,,,0.040160643,0
Nothing,,2 × 1/137.24; Never[d 1],,,,,1,,,0.014545261,
Coins,,2 × 1/151.77,,,0.013177835,,1,,,0.013201175,-2.33E-05
Loop half of key,,2 × 1/158.12; 1/156.95[d 2],,,,,1,,,0.01261817,
Tooth half of key,,2 × 1/158.12; 1/156.95[d 2],,,,,1,,,0.01261817,
Uncut sapphire,,2 × 1/637.44; 1/323.7[d 2],,,,,1,,,0.003137253,
Runite bar,,2 × 1/637.44,,,0.00313755,,1,,,0.003137253,2.97E-07
Nature rune,,"2 × 1/1,062.4",,,0.00188253,,1,,,0.001882353,1.78E-07
Rune 2h sword,,"2 × 1/1,062.4",,,0.00188253,,1,,,0.001882353,1.78E-07
Rune battleaxe,,"2 × 1/1,062.4",,,0.00188253,,1,,,0.001882353,1.78E-07
Uncut emerald,,"2 × 1/1,274.88; 1/647.4[d 2]",,,,,1,,,0.001569243,
Law rune,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Death rune,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Steel arrow,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Rune arrow,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Adamant javelin,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Rune sq shield,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Dragonstone,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Silver ore,,"2 × 1/1,593.6",,,0.00125502,,1,,,0.001255099,-7.86E-08
Uncut ruby,,"2 × 1/2,549.76; 1/1,294.8[d 2]",,,,,1,,,0.000784468,
Rune kiteshield,,"2 × 1/3,187.2",,,0.00062751,,1,,,0.000627451,5.91E-08
Dragon med helm,,"2 × 1/3,187.2",,,0.00062751,,1,,,0.000627451,5.91E-08
Rune spear,,"2 × 1/3,364.63; 1/390.39[d 2]",,,,,1,,,0.000594442,
Shield left half,,"2 × 1/6,729.26; 1/780.78[d 2]",,,,,1,,,0.000297199,
Nature talisman,,"2 × 1/6,799.36; 1/3,452.8[d 2]",,,,,1,,,0.000294139,
Dragon spear,,"2 × 1/8,972.35; 1/1,041.05[d 2]",,,,,1,,,0.000222903,
Uncut diamond,,"2 × 1/10,199.04; 1/5,179.2[d 2]",,,,,1,,,0.000196088,
Rune javelin,,"2 × 1/20,398.08; 1/10,358.4[d 2]",,,,,1,,,9.80E-05,
Brimstone key,,1/50[d 1],,,0.02,,1,,,0.02,0
Clue scroll (elite),,1/75[d 2][d 3][5],,,0.013333333,,1,,,0.013333333,0
Jar of swamp,,"1/3,000[5]",,,0.000333333,,1,,,0.000333333,0
Pet snakeling,,"1/4,000[5]",,,0.00025,,1,,,0.00025,0
